trial_id,trial_idx,is_pareto,status,auroc,f1,accuracy,parameter_count,latency_ms_per_sample,gradient_health,nan_inf_status,qubit_count,ansatz_depth,rotation_family,entanglement_topology,reuploading_frequency,compression_dim,learning_rate,weight_decay,epochs,seed,experiment_id,config_path,result_json_path
q34b_trial_001,0,True,completed,0.641474,0.635631,0.608089,280,41.7216,PASS,PASS,2,1,RX+RY+RZ,circular,none,2,0.0005,0.0,4,42,20260527_065503_5c02c6,/workspace/configs/experiments/q34b_dv_nas/q34b_trial_001.yaml,experiments/results/20260527_065503_5c02c6.json
q34b_trial_002,1,True,completed,0.64639,0.578261,0.626384,280,38.2822,PASS,PASS,2,1,RY,linear,none,2,0.0005,0.0,4,43,20260527_073151_45a02d,/workspace/configs/experiments/q34b_dv_nas/q34b_trial_002.yaml,experiments/results/20260527_073151_45a02d.json
q34b_trial_003,2,True,completed,0.646156,0.615536,0.623495,292,42.909,PASS,PASS,2,2,RX+RY,circular,none,2,0.0005,0.0,4,44,20260527_080821_2d53f7,/workspace/configs/experiments/q34b_dv_nas/q34b_trial_003.yaml,experiments/results/20260527_080821_2d53f7.json
q34b_trial_004,3,True,completed,0.655069,0.628942,0.614829,598,46.2594,PASS,PASS,4,2,RX+RY+RZ,circular,every_layer,4,0.0005,0.0001,4,45,20260527_084623_65bbca,/workspace/configs/experiments/q34b_dv_nas/q34b_trial_004.yaml,experiments/results/20260527_084623_65bbca.json
q34b_trial_005,4,False,completed,0.640018,0.607724,0.62831,280,38.7974,PASS,PASS,2,1,RY,linear,none,2,0.0005,0.0001,4,46,20260527_093055_e32a77,/workspace/configs/experiments/q34b_dv_nas/q34b_trial_005.yaml,experiments/results/20260527_093055_e32a77.json
