trial_id,trial_idx,is_pareto,auroc,f1,accuracy,params,latency_ms,status,return_code,experiment_id,backbone_family,channel_width,depth,compression_dim,activation,normalization,dropout,pooling,learning_rate,weight_decay,epochs,seed,config_path,result_json_path
q34a_trial_001,0,False,0.667207,0.620515,0.638421,2846,1.4768,completed,0,20260527_060526_0731ae,standard_cnn,"[16, 32]",medium,4,ReLU,BatchNorm,0.3,adaptive_average,0.001,0.0001,4,42,/workspace/configs/experiments/q34a_classical_nas/q34a_trial_001.yaml,experiments/results/20260527_060526_0731ae.json
q34a_trial_002,1,True,0.682588,0.58432,0.645161,2174,1.6243,completed,0,20260527_061013_2207ab,standard_cnn,"[16, 32]",shallow,4,ReLU,BatchNorm,0.3,adaptive_average,0.0005,0.0,4,43,/workspace/configs/experiments/q34a_classical_nas/q34a_trial_002.yaml,experiments/results/20260527_061013_2207ab.json
q34a_trial_003,2,True,0.68683,0.498695,0.630236,17486,1.4654,completed,0,20260527_061501_389ff0,depthwise_separable_cnn,"[64, 128]",medium,4,ReLU,BatchNorm,0.2,adaptive_average,0.001,0.0,4,44,/workspace/configs/experiments/q34a_classical_nas/q34a_trial_003.yaml,experiments/results/20260527_061501_389ff0.json
q34a_trial_004,3,True,0.68348,0.639769,0.638902,2250,1.6014,completed,0,20260527_061949_e2c608,depthwise_separable_cnn,"[16, 32]",shallow,8,ReLU,BatchNorm,0.2,adaptive_average,0.001,0.0001,4,45,/workspace/configs/experiments/q34a_classical_nas/q34a_trial_004.yaml,experiments/results/20260527_061949_e2c608.json
q34a_trial_005,4,True,0.686707,0.628659,0.651902,4754,1.3983,completed,0,20260527_062444_d51e6f,standard_cnn,"[32, 64]",shallow,16,GELU,BatchNorm,0.3,adaptive_average,0.001,0.0,4,46,/workspace/configs/experiments/q34a_classical_nas/q34a_trial_005.yaml,experiments/results/20260527_062444_d51e6f.json
