variant,auroc,f1,accuracy,params,latency_ms,wall_time_s,preprocessing_overhead_ms,delta_auroc_vs_baseline,delta_f1_vs_baseline
baseline,0.683480,0.639769,0.638902,2250,1.466470,278.771704,0.000134,0.000000,0.000000
clahe,0.696171,0.620097,0.659605,2250,1.404111,551.185224,7.613764,0.012691,-0.019673
histogram_equalization,0.588506,0.490263,0.571497,2250,1.403253,288.103551,0.292242,-0.094974,-0.149506
contrast_normalization,0.614983,0.510428,0.570534,2250,1.401960,428.277625,4.093851,-0.068497,-0.129341
clahe_plus_normalization,0.596936,0.329977,0.583534,2250,1.448338,808.808236,14.937100,-0.086544,-0.309793
