rank,candidate_id,seed,auroc,f1,accuracy,params_backbone,params_head,params_total,latency_ms_per_batch,wall_time_s,delta_auroc_vs_q45a,delta_auroc_vs_q38c,delta_f1_vs_q38c
1,mobilenetv3_large,42,0.987149,0.944238,0.946333,2971952,2250,2974202,43.24,36.28,0.267549,0.263227,0.26638
2,convnext_tiny,42,0.985628,0.93381,0.93381,27818592,2250,27820842,83.93,70.41,0.266028,0.261706,0.255952
3,mobilenetv3_small,42,0.984298,0.922299,0.926655,927008,2250,929258,44.0,36.92,0.264698,0.260376,0.244441
4,efficientnet_b0,42,0.979869,0.928486,0.928444,4007548,2250,4009798,44.23,37.11,0.260269,0.255947,0.250628
5,baseline,42,0.743932,0.670831,0.685748,9612,2250,11862,41.68,34.97,0.024332,0.02001,-0.007027
