rank,candidate,batch_size,num_workers,pin_memory,persistent_workers,prefetch_factor,epoch_wall_time_s,avg_batch_time_ms,samples_per_second,gpu_util_avg_pct,gpu_util_max_pct,gpu_mem_used_mb,cpu_util_avg_pct,oom,stable,workstation_notes
48,clahe_small_rotation,4,2,true,false,2,2.498,4.25,160.1,32.0,34.0,2984,35.3,false,true,ok
49,clahe_no_augmentation,16,0,false,false,—,15.056,2.50,106.3,19.0,51.0,2816,50.6,false,true,ok
50,clahe_no_augmentation,4,0,true,false,—,3.781,1.97,105.8,15.9,17.0,1477,47.2,false,true,ok
51,clahe_no_augmentation,16,0,true,false,—,15.185,2.19,105.4,17.0,18.0,2794,51.8,false,true,ok
52,clahe_no_augmentation,8,0,false,false,—,7.615,2.62,105.1,20.7,39.0,1875,49.4,false,true,ok
53,clahe_no_augmentation,8,0,true,false,—,7.621,2.05,105.0,17.1,18.0,1868,50.0,false,true,ok
54,clahe_no_augmentation,4,0,false,false,—,4.080,4.28,98.0,15.0,19.0,1484,48.8,false,true,ok
55,clahe_small_rotation,8,0,true,false,—,8.408,2.09,95.1,15.9,17.0,2898,50.4,false,true,ok
56,clahe_small_rotation,16,0,false,false,—,16.876,2.55,94.8,17.3,44.0,2894,51.2,false,true,ok
57,clahe_small_rotation,16,0,true,false,—,17.431,2.29,91.8,17.1,23.0,2955,54.4,false,true,ok
58,clahe_small_rotation,8,0,false,false,—,8.729,2.36,91.6,20.1,46.0,3006,52.6,false,true,ok
59,clahe_small_rotation,4,0,true,false,—,4.458,2.06,89.7,18.1,21.0,2908,52.5,false,true,ok
60,clahe_small_rotation,4,0,false,false,—,4.507,2.30,88.8,21.2,55.0,2936,54.8,false,true,ok
