trial_id,trial_idx,is_pareto,status,stability_taxonomy,auroc,f1,accuracy,parameter_count,latency_ms_per_sample,gradient_health,nan_inf_status,n_modes,cv_depth,squeezing_cap,displacement_cap,encoding_strategy,beam_splitter_topology,readout_strategy,covariance_parameterization,compression_dim,learning_rate,weight_decay,epochs,seed,experiment_id,config_path
q34c_trial_001,0,False,completed,valid,0.659346,0.638952,0.615311,1070,3.3546,PASS,PASS,4,1,0.5,2.0,displacement_encoding,circular,first_moments,symplectic_parameterization,8,0.0005,0.0,2,42,20260527_225048_213e29,/workspace/configs/experiments/q34c_cv_nas/q34c_trial_001.yaml
q34c_trial_002,1,True,completed,valid,0.661695,0.63726,0.627829,269,1.8618,PASS,PASS,1,1,0.5,2.0,displacement_encoding,circular,first_moments,symplectic_parameterization,2,0.001,0.0001,2,43,20260527_225007_f63171,/workspace/configs/experiments/q34c_cv_nas/q34c_trial_002.yaml
q34c_trial_003,2,False,completed,valid,0.657485,0.610579,0.627829,269,2.262,PASS,PASS,1,1,0.5,2.0,displacement_encoding,circular,first_moments,symplectic_parameterization,2,0.001,0.0,2,44,20260527_225007_1dcd07,/workspace/configs/experiments/q34c_cv_nas/q34c_trial_003.yaml
q34c_trial_004,3,False,completed,valid,0.655362,0.559953,0.64131,1110,4.8918,PASS,PASS,4,3,0.5,2.0,displacement_encoding,circular,first_moments,symplectic_parameterization,8,0.001,0.0001,2,45,20260527_225240_967323,/workspace/configs/experiments/q34c_cv_nas/q34c_trial_004.yaml
q34c_trial_005,4,True,completed,valid,0.662328,0.646347,0.620125,274,2.0001,PASS,PASS,1,2,1.5,2.0,displacement_encoding,circular,first_moments,symplectic_parameterization,2,0.001,0.0,2,46,20260527_225023_7951b5,/workspace/configs/experiments/q34c_cv_nas/q34c_trial_005.yaml
