architecture,dataset,seed_42_auroc,seed_7_auroc,seed_123_auroc,mean_auroc,std_auroc,ci95_lo,ci95_hi,mean_f1,ci95_f1_lo,ci95_f1_hi,mean_runtime_s,trainable_params,total_params,delta_vs_q46winner,delta_vs_cnn_baseline
Classical CNN (Q56),VinDr-SpineXR,0.975043,0.972685,0.971455,0.97306,0.001804,0.9685,0.9776,0.91530,0.9009,0.9297,0.57,2250,5608290,-0.01427,0.0
Classical CNN (Q56),BUU-LSPINE,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.08,2250,5608290,+0.01266,0.0
DV-QNN (Q57),VinDr-SpineXR,0.883308,0.88443,0.884905,0.88421,0.000804,0.8822,0.8863,0.78878,0.7663,0.8113,263.50,574,5606614,-0.10312,-0.08885
DV-QNN (Q57),BUU-LSPINE,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.98983,0.9560,1.0235,39.41,574,5606614,+0.01266,0.0
CV-QNN (Q58),VinDr-SpineXR,0.952443,0.954375,0.953352,0.95339,0.000971,0.9510,0.9558,0.87909,0.8635,0.8947,56.20,532,5606572,-0.03394,-0.01967
CV-QNN (Q58),BUU-LSPINE,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,8.49,532,5606572,+0.01266,0.0
